state,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
MS,0.3026,0.7632,0.6579,0.2072,0.2333,0.2061,0.1965,0.1456,0.4078,0.3111,0.7904,0.1862,0.4799,0.422,0.1785,0.5701,0.497,0.6086,0.7801,0.1943,0.1893,0.3704,0.5158,0.3771,0.587,1,0.4538,0.7285,0.4538,0.3807,0.2923,0.21,0.2038,0.207,0.2285,0.5209,0.575,0.3064,0.4125,0.1859,0.7635,0.473,0.6602,0.2148,0.2181,0.4206,0.2571,0.2113,0.4226,0.5608,0.4759
MT,0.6484,0.6138,0.6724,0.4537,0.2138,0.6262,0.4723,0.1739,0.5335,0.5006,0.3744,0.2004,0.8482,0.7748,0.3899,0.7798,0.7859,0.7861,0.4712,0.4202,0.1922,0.8006,0.768,0.8137,0.8004,0.4538,1,0.6888,0.7744,0.7506,0.764,0.2298,0.2275,0.2857,0.2177,0.7771,0.6666,0.7498,0.7548,0.5133,0.61240000000000006,0.7956,0.6983,0.2471,0.5185,0.6181,0.697,0.6388,0.8174,0.7745,0.7758
NC,0.447,0.8201,0.7765,0.2602,0.2265,0.3776,0.2776,0.1696,0.5701,0.4903,0.7018,0.2105,0.7055,0.6269,0.3053,0.7714,0.7116,0.8086,0.7533,0.2308,0.2052,0.618,0.742,0.6431,0.7988,0.7285,0.6888,1,0.6506,0.5951,0.5458,0.2041,0.2101,0.2387,0.2098,0.7461,0.6869,0.5622,0.6639,0.3238,0.8486,0.6692,0.8197,0.2257,0.3241,0.6428,0.4776,0.3938,0.6742,0.7529,0.668
ND,0.6914,0.6047,0.68,0.415,0.2044,0.6029,0.3467,0.1692,0.437,0.3627,0.3953,0.203,0.7886,0.7888,0.3488,0.7765,0.7989,0.7774,0.5049,0.3422,0.1897,0.6666,0.6991,0.7593,0.7735,0.4538,0.7744,0.6506,1,0.7639,0.6429,0.2014,0.2058,0.2544,0.2035,0.7293,0.6861,0.6667,0.6685,0.4402,0.5838,0.7894,0.7068,0.2258,0.6289,0.5457,0.5706,0.5846,0.7405,0.7277,0.7859
NE,0.6208,0.5358,0.597,0.4873,0.2001,0.6446,0.4241,0.1614,0.4852,0.4529,0.3539,0.1877,0.7819,0.7916,0.4495,0.7631,0.7527,0.7261,0.4549,0.4238,0.1849,0.6856,0.7342,0.7829,0.7538,0.3807,0.7506,0.5951,0.7639,1,0.67490000000000006,0.2407,0.2095,0.3471,0.2364,0.7601,0.6171,0.7141,0.7217,0.5265,0.5284,0.7318,0.6393,0.2283,0.659,0.5743,0.5758,0.6482,0.7709,0.6856,0.7267
NH,0.4783,0.4503,0.4829,0.4733,0.2327,0.6373,0.6755,0.1606,0.6317,0.5872,0.26,0.2055,0.7487,0.6441,0.5418,0.639,0.6225,0.62,0.3474,0.6287,0.2411,0.8463,0.7619,0.8053,0.6743,0.2923,0.764,0.5458,0.6429,0.67490000000000006,1,0.4309,0.2195,0.3497,0.3555,0.7402,0.4531,0.7392,0.8038,0.668,0.4855,0.65,0.5245,0.2217,0.4992,0.6796,0.7995,0.7073,0.815,0.629,0.625
NJ,0.1752,0.191,0.1824,0.5281,0.5045,0.4302,0.6708,0.2944,0.4414,0.558,0.2282,0.3959,0.2348,0.2076,0.6027,0.2082,0.2047,0.2007,0.1969,0.6872,0.49,0.3708,0.3629,0.348,0.2151,0.21,0.2298,0.2041,0.2014,0.2407,0.4309,1,0.3878,0.5537,0.7934,0.3163,0.1804,0.3737,0.4505,0.6004,0.1981,0.1988,0.1808,0.2266,0.3079,0.3722,0.3918,0.5061,0.3586,0.1937,0.1938
NM,0.3496,0.2013,0.1973,0.5879,0.6479,0.2367,0.2874,0.1366,0.2012,0.3947,0.2301,0.7071,0.2306,0.2129,0.2014,0.21560000000000001,0.2139,0.211,0.1948,0.225,0.1756,0.2307,0.2248,0.2175,0.2151,0.2038,0.2275,0.2101,0.2058,0.2095,0.2195,0.3878,1,0.5661,0.333,0.2176,0.1973,0.2515,0.2224,0.2872,0.2078,0.2089,0.2,0.5748,0.2033,0.1945,0.223,0.3088,0.2272,0.2003,0.2038
NV,0.3473,0.2084,0.2126,0.7882,0.6109,0.3906,0.4602,0.1355,0.3844,0.6214,0.2196,0.4649,0.3312,0.3496,0.5541,0.3327,0.2506,0.2763,0.2228,0.4322,0.1883,0.35,0.4303,0.3543,0.2984,0.207,0.2857,0.2387,0.2544,0.3471,0.3497,0.5537,0.5661,1,0.6005,0.4091,0.2761,0.4286,0.4654,0.5476,0.2286,0.2625,0.2201,0.5703,0.4378,0.2139,0.2797,0.5296,0.4161,0.2715,0.2535
NY,0.1799,0.1951,0.1873,0.5382,0.5492,0.4061,0.5947,0.3499,0.4364,0.5279,0.243,0.3541,0.2284,0.2128,0.642,0.2157,0.2081,0.2057,0.2043,0.6358,0.529,0.3001,0.3561,0.3203,0.2204,0.2285,0.2177,0.2098,0.2035,0.2364,0.3555,0.7934,0.333,0.6005,1,0.3137,0.1993,0.3467,0.4289,0.5779,0.2045,0.1993,0.1864,0.2916,0.3646,0.3511,0.3081,0.4828,0.3315,0.1938,0.1947
